;Step;AgentID;Position;Speed;latSpeed;ID;desSpeed;srLength;srWidth;crLength;Position_x;Position_y
0;6;1;[0, 1];3.944192358949738;0.0;1;3.944192358949738;3.944192358949738;0.19720961794748693;11.832577076849214;0.0;1.0
1;7;1;[0.7888384717899477, 0.9682532827384572];3.944192358949738;-0.15873358630771361;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;0.7888384717899477;0.9682532827384572
2;8;1;[1.5776769435798954, 0.9428559089292231];3.944192358949738;-0.12698686904617085;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;1.5776769435798954;0.9428559089292231
3;9;1;[2.366515415369843, 0.9225380098818358];3.944192358949738;-0.10158949523693672;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;2.366515415369843;0.9225380098818358
4;10;1;[3.155353887159791, 0.9062836906439259];3.944192358949738;-0.08127159618954938;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;3.155353887159791;0.9062836906439259
5;11;1;[3.9441923589497385, 0.893280235253598];3.944192358949738;-0.0650172769516395;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;3.9441923589497385;0.893280235253598
6;11;2;[0, 1];4.584232970442724;0.0;2;4.584232970442724;4.584232970442724;0.22921164852213619;13.75269891132817;0.0;1.0
7;12;1;[4.733030830739686, 0.8828774709413357];3.944192358949738;-0.052013821561311624;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;4.733030830739686;0.8828774709413357
8;12;2;[0.914739539287745, 0.9723977816641929];4.5631624224347265;-0.1380110916790358;2;4.584232970442724;5.5631624224347265;0.6281581211217364;13.68948726730418;0.914739539287745;0.9723977816641929
9;13;1;[5.521869302529634, 0.8745552594915259];3.944192358949738;-0.041611057249049344;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;5.521869302529634;0.8745552594915259
10;13;2;[1.8252649689738905, 0.9503160069955472];4.542091874426729;-0.11040887334322869;2;4.584232970442724;5.542091874426729;0.6271045937213365;13.626275623280188;1.8252649689738905;0.9503160069955472
11;14;1;[6.310707774319582, 0.867897490331678];3.944192358949738;-0.03328884579923952;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;6.310707774319582;0.867897490331678
12;14;2;[2.7315762890584367, 0.9326505872606305];4.521021326418732;-0.088327098674583;2;4.584232970442724;5.521021326418732;0.6260510663209367;13.563063979256196;2.7315762890584367;0.9326505872606305
13;15;1;[7.099546246109529, 0.8625712750037996];3.944192358949738;-0.02663107663939157;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;7.099546246109529;0.8625712750037996
14;15;2;[3.6336734995413837, 0.9185182514726973];4.499950778410735;-0.07066167893966635;2;4.584232970442724;5.499950778410735;0.6249975389205368;13.499852335232205;3.6336734995413837;0.9185182514726973
15;16;1;[7.888384717899477, 0.858310302741497];3.944192358949738;-0.021304861311513212;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;7.888384717899477;0.858310302741497
16;16;2;[4.531556600422731, 0.9072123828423506];4.478880230402738;-0.05652934315173308;2;4.584232970442724;5.478880230402738;0.6239440115201369;13.436640691208215;4.531556600422731;0.9072123828423506
17;16;3;[0, 1];3.2660603827183596;0.0;3;3.2660603827183596;3.2660603827183596;0.163303019135918;9.798181148155079;0.0;1.0
18;17;1;[8.677223189689425, 0.8549015249316548];3.944192358949738;-0.017043889049210614;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;8.677223189689425;0.8549015249316548
19;17;2;[5.425225591702479, 0.8981676879380733];4.457809682394741;-0.04522347452138642;2;4.584232970442724;5.457809682394741;0.6228904841197371;13.373429047184223;5.425225591702479;0.8981676879380733
20;17;3;[0.653212076543672, 0.992127281158806];3.2660603827183596;-0.03936359420597002;3;3.2660603827183596;4.26606038271836;0.5633030191359181;9.798181148155079;0.653212076543672;0.992127281158806
21;18;1;[9.466061661479372, 0.8521745026837811];3.944192358949738;-0.013635111239368447;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;9.466061661479372;0.8521745026837811
22;18;2;[6.314680473380627, 0.8909319320146515];4.436739134386744;-0.036178779617109136;2;4.584232970442724;5.436739134386744;0.6218369567193373;13.31021740316023;6.314680473380627;0.8909319320146515
23;18;3;[1.306424153087344, 0.9858291060858508];3.2660603827183596;-0.031490875364776016;3;3.2660603827183596;4.26606038271836;0.5633030191359181;9.798181148155079;1.306424153087344;0.9858291060858508
24;19;1;[10.25490013326932, 0.8499928848854822];3.944192358949738;-0.010908088991494758;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;10.25490013326932;0.8499928848854822
25;19;2;[7.182233384412055, 0.885143327275914];4.23878997592753;-0.028943023693687286;2;4.584232970442724;5.23878997592753;0.6119394987963765;12.716369927782589;7.182233384412055;0.885143327275914
26;19;3;[1.959636229631016, 0.9807905660274867];3.2660603827183596;-0.025192700291820858;3;3.2660603827183596;4.26606038271836;0.5633030191359181;9.798181148155079;1.959636229631016;0.9807905660274867
27;20;1;[11.043738605059268, 0.8482475906468431];3.944192358949738;-0.008726471193195806;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;11.043738605059268;0.8482475906468431
28;20;2;[8.01129021943526, 0.8805124434849241];4.051778374304512;-0.02315441895494985;2;4.584232970442724;5.051778374304512;0.6025889187152257;12.155335122913538;8.01129021943526;0.8805124434849241
29;20;3;[2.612848306174688, 0.9767597339807954];3.2660603827183596;-0.02015416023345673;3;3.2660603827183596;4.26606038271836;0.5633030191359181;9.798181148155079;2.612848306174688;0.9767597339807954
30;21;1;[11.832577076849216, 0.8468513552559317];3.944192358949738;-0.006981176954556689;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;11.832577076849216;0.8468513552559317
31;21;2;[8.804020459899617, 0.8768077364521321];3.8755240303390504;-0.01852353516395988;2;4.584232970442724;4.875524030339051;0.5937762015169525;11.62657209101715;8.804020459899617;0.8768077364521321
32;21;3;[3.2660603827183596, 0.9735350683434423];3.2660603827183596;-0.01612332818676543;3;3.2660603827183596;4.26606038271836;0.5633030191359181;9.798181148155079;3.2660603827183596;0.9735350683434423
33;21;4;[0, 1];6.671820172350875;0.0;4;6.671820172350875;6.671820172350875;0.33359100861754376;20.015460517052624;0.0;1.0
34;22;1;[12.621415548639163, 0.8457343669432026];3.944192358949738;-0.005584941563645307;1;3.944192358949738;4.9441923589497385;0.597209617947487;11.832577076849214;12.621415548639163;0.8457343669432026
35;22;2;[9.562622966842175, 0.8738439708258985];3.710501039086534;-0.01481882813116786;2;4.584232970442724;4.710501039086534;0.5855250519543267;11.131503117259602;9.562622966842175;0.8738439708258985
36;22;3;[3.9192724592620314, 0.9709553358335599];3.2660603827183596;-0.012898662549412299;3;3.2660603827183596;4.26606038271836;0.5633030191359181;9.798181148155079;3.9192724592620314;0.9709553358335599
