;Step;AgentID;Position;Speed;latSpeed;ID;desSpeed;srLength;srWidth;crLength;Position_x;Position_y
0;1;0;[0, 1];3.537456976449605;0.0;0;3.537456976449605;3.537456976449605;0.17687284882248025;10.612370929348815;0.0;1.0
1;2;0;[0.707491395289921, 1.0277946989549787];3.537456976449605;0.13897349477489307;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;0.707491395289921;1.0277946989549787
2;3;0;[1.414982790579842, 1.0500304581189615];3.537456976449605;0.11117879581991441;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;1.414982790579842;1.0500304581189615
3;4;0;[2.122474185869763, 1.0678190654501478];3.537456976449605;0.08894303665593162;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;2.122474185869763;1.0678190654501478
4;5;0;[2.829965581159684, 1.082049951315097];3.537456976449605;0.07115442932474525;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;2.829965581159684;1.082049951315097
5;6;0;[3.537456976449605, 1.0934346600070561];3.537456976449605;0.05692354345979611;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;3.537456976449605;1.0934346600070561
6;6;1;[0, 1];6.055098475906457;0.0;1;6.055098475906457;6.055098475906457;0.30275492379532287;18.16529542771937;0.0;1.0
7;7;0;[4.244948371739526, 1.1025424269606234];3.537456976449605;0.04553883476783693;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;4.244948371739526;1.1025424269606234
8;7;1;[1.2110196951812915, 1.1];6.055098475906457;0.5;1;6.055098475906457;7.055098475906457;0.7027549237953229;18.16529542771937;1.2110196951812915;1.1
9;8;0;[4.952439767029447, 1.1098286405234774];3.537456976449605;0.036431067814269635;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;4.952439767029447;1.1098286405234774
10;8;1;[2.422039390362583, 1.2000000000000002];6.055098475906457;0.5;1;6.055098475906457;7.055098475906457;0.7027549237953229;18.16529542771937;2.422039390362583;1.2000000000000002
11;9;0;[5.659931162319368, 1.1156576113737606];3.537456976449605;0.029144854251415664;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;5.659931162319368;1.1156576113737606
12;9;1;[3.6330590855438745, 1.3000000000000003];6.055098475906457;0.5;1;6.055098475906457;7.055098475906457;0.7027549237953229;18.16529542771937;3.6330590855438745;1.3000000000000003
13;10;0;[6.367422557609289, 1.1203207880539872];3.537456976449605;0.023315883401132442;0;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;6.367422557609289;1.1203207880539872
14;10;1;[4.844078780725166, 1.4000000000000004];6.055098475906457;0.5;1;6.055098475906457;7.055098475906457;0.7027549237953229;18.16529542771937;4.844078780725166;1.4000000000000004
